Количество элементов	Время сортировки	Количество итераций
100	0,5999	683
200	0,1706	1493
300	0,2038	2597
400	0,2624	3526
500	0,1789	4923
600	0,1895	5989
700	0,3046	7384
800	0,2476	8165
900	0,2775	9251
1000	0,4697	11404
1100	0,3443	11700
1200	0,5473	13660
1300	0,4244	14492
1400	0,485	17054
1500	0,5251	17051
1600	0,6709	18390
1700	0,4812	19908
1800	0,8739	22356
1900	0,9957	24491
2000	0,7047	26758
2100	1,066	29402
2200	0,7255	25028
2300	0,8051	30162
2400	0,9097	30299
2500	0,9605	31481
2600	0,667	35909
2700	0,6648	35034
2800	0,6743	37483
2900	0,7104	36317
3000	0,7486	40025
3100	0,5135	41989
3200	0,7909	41276
3300	1,9954	42197
3400	0,836	46717
3500	0,8706	42691
3600	0,867	47809
3700	0,8686	47325
3800	1,0207	50057
3900	0,9899	54949
4000	1,0564	51839
4100	0,999	51868
4200	0,9212	61289
4300	1,0266	56860
4400	0,7145	57331
4500	1,0485	60979
4600	1,0834	64591
4700	1,1612	68952
4800	0,7779	64489
4900	0,8022	74777
5000	1,1938	75842
5100	1,1601	67942
5200	1,3009	71821
5300	1,3325	80122
5400	1,3527	80858
5500	1,3103	80431
5600	1,3316	75289
5700	1,4935	97466
5800	1,4132	83356
5900	1,394	81585
6000	1,4063	79308
6100	1,4051	96896
6200	1,5531	86444
6300	1,1774	94764
6400	1,9433	90873
6500	1,0985	86431
6600	1,4064	98651
6700	1,1887	97226
6800	1,4542	95385
6900	1,2083	94721
7000	1,1866	96855
7100	1,4063	102265
7200	1,2535	101996
7300	1,2486	115588
7400	1,2858	107270
7500	1,3287	104488
7600	1,2889	116152
7700	1,3819	110120
7800	1,3547	121792
7900	1,3885	122364
8000	1,6071	112277
8100	1,6588	119955
8200	1,4583	128822
8300	1,4647	130312
8400	1,5122	120470
8500	1,5148	134346
8600	2,2036	128292
8700	1,5164	125919
8800	1,5409	125636
8900	1,5908	132137
9000	1,598	131761
9100	1,5886	132139
9200	1,9119	146421
9300	1,6534	147193
9400	1,6795	150994
9500	1,6608	132717
9600	1,7025	141145
9700	1,7499	145675
9800	1,7348	141335
9900	1,811	163129
10000	1,8565	161304
