100    0,3229    564
200    0,1355    2278
300    0,2431    2513
400    0,2561    3590
500    0,1413    4604
600    0,2566    6981
700    0,2984    6938
800    0,3554    8242
900    0,4014    9057
1000    0,3382    12137
1100    0,3433    11456
1200    0,3863    13793
1300    0,4002    14674
1400    0,452    18045
1500    0,5294    16398
1600    0,58    17173
1700    0,7805    20402
1800    0,9135    21182
1900    1,0194    20901
2000    0,7028    25969
2100    0,7236    24603
2200    0,7485    26992
2300    0,8041    27907
2400    0,803    30045
2500    1,2114    33559
2600    0,6625    35327
2700    0,7085    35500
2800    0,634    33130
2900    0,8633    38620
3000    0,7107    37969
3100    0,7649    40733
3200    0,7639    42549
3300    0,8261    44823
3400    0,7904    42551
3500    0,8292    47485
3600    0,9524    50292
3700    1,3483    52645
3800    0,9641    47695
3900    0,9234    53399
4000    0,9847    54010
4100    0,9339    58638
4200    0,9005    58474
4300    0,9902    58318
4400    1,0008    59039
4500    0,6782    61080
4600    1,1304    66365
4700    1,0225    63448
4800    1,1113    67693
4900    1,1834    69311
5000    1,0634    67662
5100    1,1211    65742
5200    1,37    76639
5300    1,338    74175
5400    1,3551    71835
5500    1,3135    83420
5600    0,8477    73864
5700    1,2988    75318
5800    1,4191    87192
5900    1,2545    82423
6000    1,535    85357
6100    1,5219    90229
6200    1,1919    91483
6300    1,7542    86090
6400    1,5599    92884
6500    1,6254    105924
6600    1,6286    91274
6700    1,3696    107023
6800    1,0812    93637
6900    1,1582    106133
7000    1,0947    101952
7100    1,8064    108271
7200    1,1399    104179
7300    1,7354    100766
7400    1,1938    110420
7500    1,2007    102946
7600    1,8016    111508
7700    1,2652    112324
7800    1,249    109755
7900    1,5524    109080
8000    1,7977    121774
8100    1,3801    113967
8200    2,436    124373
8300    1,8475    117068
8400    1,3742    117423
8500    1,4509    128763
8600    1,4478    148221
8700    1,8805    129145
8800    1,4661    135283
8900    1,5108    133977
9000    1,473    128608
9100    1,5032    140971
9200    1,5715    135189
9300    1,5471    145202
9400    1,5429    139063
9500    1,6117    140778
9600    1,5512    139711
9700    1,5904    138448
9800    1,6307    150872
9900    1,6502    154863
10000    1,664    154552
